x1,y1,x2,y2,x3,y3
257,319,176,306,185,377
266,318,175,304,185,382
271,317,173,302,185,387
274,315,172,301,181,392
279,314,170,299,185,395
284,312,169,298,185,399
287,310,168,297,185,403
290,309,167,297,185,406
292,308,166,296,185,409
293,306,164,296,185,411
294,305,163,296,185,412
296,304,163,297,185,413
295,304,162,296,183,419
297,303,162,297,183,419
296,304,162,297,183,419
294,304,162,297,189,422
291,305,163,297,188,420
288,306,163,298,184,409
285,308,164,298,184,407
282,309,165,299,184,404
280,310,166,299,184,402
274,311,167,300,184,399
271,312,169,301,185,396
268,313,171,302,186,393
265,314,172,303,186,389
261,316,174,305,187,385
260,316,176,306,188,382
256,316,178,308,189,378
253,316,180,309,190,375
250,317,182,312,191,371
247,316,184,315,193,368
245,316,186,317,195,364
243,316,189,320,197,361
242,315,192,322,199,358
241,312,195,326,202,355
240,312,197,328,205,353
241,309,200,331,208,351
242,308,202,332,211,349
243,307,205,335,214,348
243,308,207,336,217,346
244,306,209,337,220,346
247,305,211,338,223,346
249,304,213,340,225,346
250,302,214,341,227,346
253,301,215,341,230,347
256,298,219,342,234,348
257,298,219,342,235,348
260,295,220,343,238,349
260,295,220,344,241,350
262,294,221,344,242,350
261,295,221,344,242,351
260,296,223,345,241,350
258,298,222,344,239,350
255,299,220,344,235,349
253,301,217,340,232,349
248,304,215,339,227,348
243,305,212,338,222,347
237,308,208,337,216,345
231,310,204,337,211,344
226,311,200,336,206,343
220,312,196,336,199,342
214,312,191,336,195,341
206,312,187,337,190,340
200,311,182,338,187,339
194,310,178,339,183,339
189,309,174,341,179,338
185,308,171,342,175,337
184,307,168,344,173,337
181,306,166,346,173,337
178,305,164,347,172,336
176,304,162,348,170,335
175,303,161,349,170,335
175,302,161,350,170,335
174,301,162,351,171,334
176,300,163,352,173,333
177,300,165,353,175,332
179,300,167,354,175,332
181,300,170,354,180,331
184,300,173,355,183,331
187,300,177,355,185,330
191,299,180,356,190,329
195,298,184,356,194,328
199,299,187,357,198,329
203,298,191,357,203,329
208,296,194,357,208,332
212,297,198,357,210,331
217,296,200,357,214,332
221,295,203,357,218,334
225,293,207,357,222,335
229,291,209,357,225,336
232,290,211,357,229,338
236,290,212,357,231,339
237,290,213,357,233,340
239,289,213,357,234,341
241,289,214,357,235,342
240,290,215,355,235,342
240,291,213,355,234,343
236,292,212,353,230,343
235,293,210,352,228,343
233,293,207,352,224,343
231,293,205,352,223,343
228,293,202,352,221,343
225,292,199,352,218,344
224,291,198,353,217,343
222,289,196,354,217,345
222,287,194,356,217,345
223,284,194,357,218,346
223,282,194,359,219,346
223,280,194,360,221,347
223,278,195,362,223,347
223,276,195,364,225,348
224,274,195,365,226,348
225,273,194,366,226,349
224,273,194,366,227,349
224,273,193,366,226,350
223,273,192,365,225,350
222,272,191,364,224,350
222,273,191,364,221,351
222,273,190,363,220,352
223,274,189,362,220,353
224,275,189,361,219,353
223,275,188,360,217,354
222,274,186,360,218,356
222,274,185,360,217,356
221,274,184,360,216,356
221,274,184,360,216,356
222,275,185,360,216,355
222,275,187,360,217,354
220,275,188,362,219,351
219,275,190,363,221,348
216,275,192,366,221,346
213,276,194,369,224,340
209,275,196,373,225,337
205,274,197,377,226,333
200,273,197,382,226,329
195,271,196,387,226,324
189,269,196,393,226,318
183,266,196,399,227,312
177,263,195,406,228,307
169,260,194,414,230,302
168,257,194,421,231,296
161,253,193,430,234,292
158,249,192,437,237,287
155,245,191,444,240,284
152,241,190,450,242,280
150,238,189,457,247,278
148,234,189,463,249,275
147,230,188,468,253,273
144,226,187,473,257,271
143,223,186,478,260,270
143,219,186,482,265,268
143,216,186,486,269,267
143,214,186,489,273,266
143,213,187,491,277,266
143,213,187,492,277,265
144,214,188,491,278,265
145,216,189,490,277,265
145,218,190,488,274,265
146,222,191,485,271,265
148,225,193,482,269,266
149,229,194,478,264,267
150,234,195,472,260,268
151,239,196,467,255,269
153,244,197,460,250,271
155,249,198,453,245,273
158,255,198,446,241,277
162,260,199,435,237,280
165,264,200,428,234,284
168,268,200,421,230,289
172,271,201,416,229,290
177,274,202,409,228,296
181,277,204,403,227,300
187,279,204,397,226,305
192,282,205,390,225,307
199,284,206,384,225,313
205,286,207,378,225,317
211,287,207,374,226,322
217,288,209,370,227,326
222,288,209,367,228,330
227,288,209,362,230,334
232,288,210,360,231,338
237,289,210,357,232,341
241,289,210,355,233,344
241,288,211,354,233,345
242,288,211,353,234,347
242,289,210,352,233,347
242,290,210,352,232,347
240,291,209,352,231,347
237,292,209,352,229,345
234,292,208,352,227,343
229,294,207,353,224,341
225,294,205,354,221,339
220,295,203,355,217,336
214,296,200,355,213,334
209,296,197,356,209,332
203,297,194,357,205,331
197,297,190,358,199,329
190,296,185,359,196,329
185,296,181,360,190,327
180,297,177,361,187,327
175,296,173,361,182,326
170,295,168,363,178,325
167,295,165,364,175,325
164,294,162,365,173,325
160,293,160,366,171,324
158,293,158,366,169,324
158,293,157,366,168,323
156,294,157,367,168,323
156,294,157,367,168,323
157,293,158,367,169,322
158,294,160,368,170,321
159,295,162,368,172,319
161,295,164,368,175,318
164,295,168,369,177,317
168,297,172,370,181,315
172,297,177,371,185,314
174,297,181,371,189,313
179,297,187,372,194,312
185,297,192,372,200,311
191,296,199,373,206,311
195,296,203,373,213,310
201,294,209,374,219,310
205,293,213,375,224,311
208,292,217,376,230,311
211,291,219,376,233,311
213,290,221,376,236,312
214,290,222,377,238,313
217,289,223,377,239,314
219,289,226,378,241,315
221,288,227,378,243,316
222,288,228,377,245,317
223,287,228,375,246,317
223,286,229,375,247,317
223,287,229,375,247,317
220,288,228,375,246,317
